AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
4,2,2,5,4,2,2,5,5,1,2,5,5,5,4,6,6,6,2,3,2,2,6,5,17,3,4
3,2,2,6,4,2,6,6,3,1,2,3,3,6,4,4,3,2,6,4,6,6,6,5,137,6,6
3,1,2,6,4,2,3,3,3,2,1,1,1,3,2,5,3,1,2,7,5,7,7,4,712,7,7
3,2,2,5,4,2,5,3,3,6,6,1,1,3,2,1,3,5,5,7,4,6,6,6,217,5,5
4,2,2,6,4,2,4,2,6,6,3,2,2,6,6,5,2,2,2,6,6,6,6,6,612,6,5
3,2,1,6,4,2,5,3,2,1,6,4,4,3,3,3,3,1,2,4,7,7,7,7,21,7,6
4,2,2,6,4,2,4,4,6,2,1,3,3,2,2,2,5,3,4,6,6,5,5,5,461,7,6
3,2,2,5,4,2,6,4,5,3,1,2,2,2,2,2,3,5,3,6,6,6,6,6,7,6,6
6,1,2,1,3,5,6,6,6,1,6,6,6,3,4,4,6,5,6,1,1,6,7,7,714,1,1
4,2,2,5,4,2,6,5,2,2,3,5,5,3,3,3,6,6,6,3,4,5,4,3,527,5,5
4,2,2,5,4,2,5,3,6,5,5,1,1,7,5,6,6,6,2,7,7,7,7,7,215,7,7
4,1,2,6,4,2,6,1,3,6,5,1,1,6,6,6,6,1,2,6,5,7,7,7,821,7,5
3,2,1,5,3,2,5,1,5,3,6,2,2,1,1,1,4,7,1,7,6,7,7,7,816,7,7
4,2,2,6,4,2,6,6,4,5,1,2,2,6,3,3,5,5,3,7,7,7,7,7,514,7,6
3,2,1,6,3,2,5,6,5,3,6,1,1,7,6,6,3,5,5,6,7,7,6,7,142,7,7
4,2,2,6,4,2,4,1,4,2,3,2,2,2,2,7,1,1,1,4,7,7,7,7,71,4,2
4,2,2,3,3,2,5,5,6,6,4,6,6,2,3,2,2,2,2,7,6,6,6,6,182,6,6
4,2,2,6,4,2,2,1,3,1,3,2,2,4,2,5,6,7,4,6,6,7,7,7,142,7,7
3,2,1,6,4,2,5,1,4,2,1,1,1,4,4,4,4,3,1,1,4,4,5,5,314,7,7
3,1,1,3,4,2,2,5,5,5,3,1,1,1,2,2,2,1,2,6,6,7,7,7,137,7,7
3,2,2,6,4,2,5,4,5,6,3,3,3,4,3,3,2,5,2,6,6,6,6,6,713,6,6
3,2,2,6,4,2,6,3,5,4,2,2,2,5,2,2,2,1,1,7,7,7,7,7,147,6,6
4,2,1,5,3,2,4,3,4,1,4,2,2,5,7,7,3,6,5,6,5,7,5,7,1,7,7
3,1,2,6,4,2,6,6,1,6,6,6,6,4,4,4,6,6,6,4,2,1,1,3,1,2,2
4,2,2,5,3,2,5,6,6,4,2,4,4,2,3,3,2,6,6,6,6,6,5,6,51,6,6
3,1,2,5,4,2,4,1,1,1,5,1,1,4,3,4,5,2,3,7,6,6,5,5,147,7,6
3,2,1,5,3,2,4,1,6,2,6,3,3,5,5,5,4,7,3,6,5,5,5,5,1,6,6
4,2,2,6,4,2,3,3,3,3,3,3,3,3,2,3,2,1,2,7,6,6,6,7,8,6,6
3,2,1,6,3,2,6,2,3,2,3,3,3,1,1,2,2,6,2,6,7,7,7,7,684,7,7
3,2,2,6,4,2,4,1,4,4,3,1,1,6,2,6,5,3,3,7,7,7,7,7,814,7,7
3,2,2,6,4,2,4,1,6,5,2,3,3,2,2,6,5,5,4,6,5,5,5,6,1,5,5
3,2,2,5,4,2,3,1,5,5,5,1,1,4,4,2,2,2,2,7,7,7,7,7,451,7,7
4,1,2,3,4,3,4,1,6,3,6,3,3,1,1,1,2,6,1,7,5,7,7,7,468,7,7
3,2,2,5,4,2,6,2,3,1,1,6,6,4,5,6,2,2,3,1,4,4,5,4,163,5,4
3,2,2,1,4,2,3,3,3,3,3,3,3,5,5,5,5,5,5,2,5,5,5,5,5,3,2
3,2,2,6,4,2,1,1,1,1,1,1,1,2,2,5,3,2,4,7,7,7,7,7,16,7,7
3,2,1,6,3,3,4,1,4,4,3,3,3,2,3,4,4,2,4,3,4,7,6,4,147,7,5
5,2,2,6,4,3,6,2,5,5,6,2,2,4,4,5,2,6,2,4,6,6,6,6,8,4,4
5,2,2,6,4,3,5,2,5,5,4,2,2,6,1,1,3,6,1,5,7,6,7,6,841,6,6
4,2,2,5,3,2,4,4,2,3,4,1,1,5,5,3,5,3,5,7,7,7,7,7,137,7,7
3,1,1,3,4,7,3,3,6,2,6,1,1,2,5,5,5,2,2,7,4,5,5,5,128,7,6
