AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
4,2,2,6,4,2,1,1,1,6,6,1,1,5,3,6,3,4,2,7,7,7,7,4,251,7,6,9,14,25,13,-0.44508354412406614,-0.8493940667567087,0.9823771016648657,0.4854391968419055,0.7375603503663616,1.0944983646724256,1,3,1,1
3,2,2,6,4,2,3,3,1,1,3,4,4,6,6,5,5,3,4,4,7,7,7,7,382,5,6,12,17,28,11,0.026880296711551642,-0.19174850805368054,1.6107221329212742,1.1442866201492612,0.050362050355412635,-0.5056380693935977,1,3,1,1
4,2,2,4,4,2,5,2,2,4,5,2,2,4,4,4,3,7,2,6,4,4,5,5,231,5,5,12,12,18,10,-0.5171390923432444,-0.19174850805368054,0.5634804141605932,-1.0518714575419246,-0.29323709965006184,0.5611195533170845,1,3,1,1
4,2,2,6,3,2,6,1,4,4,5,2,2,3,2,3,1,6,5,6,6,6,7,7,412,2,7,12,8,26,9,0.13496361904031906,-0.19174850805368054,-0.2743129608479515,0.7050550046110241,-0.6368362496555363,0.5611195533170845,1,2,1,1
3,1,2,6,4,1,5,2,3,3,1,3,3,3,4,4,5,3,3,4,5,6,6,5,152,5,6,11,11,22,11,-0.8017585078089986,-0.41096369428802326,0.3540320704084571,-0.17340822646545023,0.050362050355412635,-0.5056380693935977,0,3,0,1
3,2,2,6,4,2,4,3,3,2,2,1,1,2,3,2,6,5,2,7,7,7,7,7,164,6,6,13,7,28,12,-0.7585251788774917,0.0274666781806622,-0.4837613046000877,1.1442866201492612,0.3939612003608871,1.0944983646724256,1,3,1,1
4,2,2,5,4,2,3,6,2,3,2,5,5,6,5,3,6,6,5,3,5,5,5,2,743,5,5,17,14,17,10,1.3274829420677197,0.9043274231180332,0.9823771016648657,-1.2714872653110432,-0.29323709965006184,-1.0390168807489388,1,3,1,1
4,2,2,6,4,2,1,3,1,1,1,6,6,3,5,5,5,5,4,4,2,6,4,6,217,5,4,14,13,18,9,-0.5675779760966693,0.24668186441500492,0.7729287579127294,-1.0518714575419246,-0.6368362496555363,-0.5056380693935977,1,3,1,1
3,1,2,6,4,2,5,1,6,6,3,6,6,3,4,7,6,7,2,1,7,7,7,7,8,2,2,15,14,28,4,-1.3205584549870824,0.46589705064934767,0.9823771016648657,1.1442866201492612,-2.354831999682909,-2.105774503459621,0,3,1,1
6,2,2,6,4,2,6,2,4,3,1,2,2,3,1,1,3,4,4,7,7,7,7,6,241,7,7,11,5,27,14,-0.48111131823365527,-0.41096369428802326,-0.90265799210436,0.9246708123801427,1.0811595003718362,1.0944983646724256,1,3,1,1
3,1,1,6,4,2,3,6,5,2,4,1,1,2,4,2,6,6,7,7,7,7,7,7,714,7,7,19,8,28,14,1.223002397149911,1.3427577955867187,-0.2743129608479515,1.1442866201492612,1.0811595003718362,1.0944983646724256,0,3,1,0
4,2,2,6,4,4,6,4,5,6,6,3,3,3,3,3,5,6,2,6,7,7,7,7,174,2,2,13,9,28,4,-0.7224974047679026,0.0274666781806622,-0.0648646170958153,1.1442866201492612,-2.354831999682909,0.5611195533170845,1,3,3,1
3,1,2,5,4,2,4,6,3,3,5,1,1,3,4,3,5,6,6,6,6,6,6,6,14,6,5,17,10,24,11,-1.2989417905213287,0.9043274231180332,0.14458372665632088,0.26582338907278696,0.050362050355412635,0.5611195533170845,0,3,1,1
4,2,1,6,4,2,2,1,2,4,1,1,1,6,6,5,7,7,7,6,5,4,3,3,174,7,6,21,17,15,13,-0.7224974047679026,1.781188168055404,1.6107221329212742,-1.7107188808492804,0.7375603503663616,0.5611195533170845,1,3,1,0
3,1,2,5,4,2,6,4,3,1,2,5,5,6,6,6,5,3,5,1,4,6,2,6,175,3,3,13,18,18,6,-0.7188946273569436,0.0274666781806622,1.8201704766734104,-1.0518714575419246,-1.6676336996719598,-2.105774503459621,0,3,1,1
3,2,2,5,4,2,5,1,4,3,5,2,2,5,4,5,4,6,4,6,7,7,7,6,51,7,7,14,14,27,14,-1.165639026315849,0.24668186441500492,0.9823771016648657,0.9246708123801427,1.0811595003718362,0.5611195533170845,1,3,1,1
4,2,2,6,4,2,6,6,4,3,6,1,1,2,3,2,6,1,2,7,7,7,7,7,713,7,7,9,7,28,14,1.2193996197389523,-0.8493940667567087,-0.4837613046000877,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
3,2,2,6,4,2,6,1,4,4,2,1,1,2,2,3,3,2,4,6,7,5,5,5,1,6,4,9,7,22,10,-1.3457778968637948,-0.8493940667567087,-0.4837613046000877,-0.17340822646545023,-0.29323709965006184,0.5611195533170845,1,3,1,1
4,2,2,5,4,2,6,1,3,6,3,2,2,5,2,6,2,3,2,7,6,6,6,6,541,6,6,7,13,24,12,0.599721905054019,-1.2878244392253941,0.7729287579127294,0.26582338907278696,0.3939612003608871,1.0944983646724256,1,3,1,1
4,2,2,5,3,2,5,1,2,1,5,5,5,6,6,6,6,3,2,6,5,7,7,7,1,7,7,11,18,26,14,-1.3457778968637948,-0.41096369428802326,1.8201704766734104,0.7050550046110241,1.0811595003718362,0.5611195533170845,1,2,1,1
3,2,2,6,4,2,3,3,3,3,2,1,1,2,2,2,6,3,6,7,6,6,6,6,137,7,6,15,6,24,13,-0.8558001689733824,0.46589705064934767,-0.6932096483522239,0.26582338907278696,0.7375603503663616,1.0944983646724256,1,3,1,1
3,2,2,6,4,2,5,5,4,3,2,4,4,4,4,5,6,6,5,5,4,4,6,5,126,5,5,17,13,19,10,-0.8954307204939305,0.9043274231180332,0.7729287579127294,-0.832255649772806,-0.29323709965006184,0.02774074196174343,1,3,1,1
3,2,2,6,4,2,4,1,2,3,3,2,2,6,3,2,2,5,2,6,6,7,7,7,251,7,7,9,11,27,14,-0.44508354412406614,-0.8493940667567087,0.3540320704084571,0.9246708123801427,1.0811595003718362,0.5611195533170845,1,3,1,1
